cellid,enodebid,physcellid,time_timestamp,localcellid,eutrancellid1,eutrancellid2,eutrancellid3,avg_dlrsrp_s,avg_dlrsrq_s,avg_longitude,avg_latitude,avg_dlearfcn,avg_dlrsrp_d1,avg_dlrsrq_d1,avg_dlrsrp_d2,avg_dlrsrq_d2,avg_dlrsrp_d3,avg_dlrsrq_d3,avg_dlcqi,avg_ta
1,21973,386,01:33.0,1,6543107,6543104,6657792,-106.5,-15.5,80.367967,8.291541,1725,-109.5,-17,-112,-19.3,-113,-20,9.5,20
1,21703,63,00:26.0,1,6250006,,,-111,-16,80.583654,7.699164,1725,-114,-18,,,,,4,18
1,21649,256,00:47.0,1,5542176,,,-93,-15,80.239158,9.822023,1725,-101,-20,,,,,10,8
0,21955,417,00:05.0,0,5607171,,,-106.5,-17,80.390637,8.363691,1725,-113,-19.8,,,,,8,18.5
80,27309,378,01:01.0,80,6991185,,,-96.7,-12.7,81.16428,8.47235,525,-98.7,-14.7,,,,,7,5.3
82,27379,83,00:23.0,82,5894738,,,-95.5,-12.8,80.274134,7.823189,525,-97.5,-15,,,,,8.5,7
0,26018,124,00:46.0,0,5998081,,,-109.5,-14,80.419697,9.386802,1725,-115.3,-18.6,,,,,8,16
1,20810,247,01:44.0,1,5326595,5548288,5548289,-112,-17,80.34863,7.504761,1725,-112,-16.5,-113,-19,-114,-19,5,16
3,23519,414,01:11.0,3,6607616,6930432,6020866,-112,-16,80.41194,7.912287,1725,-111,-16.5,-117,-20,-120,-20,5,25
0,21494,426,00:17.0,0,5272576,,,-86,-11,79.863231,6.931812,1725,-95,-19,,,,,8,2
1,27073,179,00:18.0,1,5551616,5321216,,-106.8,-13.8,80.212429,7.428134,1725,-109.5,-16.5,-111.8,-18.5,,,7,17
2,24183,41,00:27.0,2,5543189,6564610,,-114,-17,80.013111,9.666246,1725,-113,-16,-117,-19,,,,2
0,20439,165,00:34.0,0,5231617,,,-103.3,-14.2,81.733684,7.691607,1725,-107.3,-16.8,,,,,12,7.3
1,24832,118,01:44.0,1,6108161,,,-103,-15,81.59289,7.788587,1725,-104.7,-16.7,,,,,,7
92,27281,349,00:26.0,92,6900561,,,-103,-11.6,81.604441,7.781643,525,-109.1,-17.7,,,,,8,8
1,20117,382,01:07.0,1,6189315,5149698,,-96,-15,79.859651,6.921289,1725,-93,-16.5,-97,-17,,,,
2,20648,145,00:26.0,2,5285920,5285889,5285899,-90,-14.5,79.955069,7.173033,1725,-96,-18.5,-98,-20,-98,-18.5,5,1
0,27073,178,00:19.0,0,5554690,5917184,6451971,-111,-13,80.215728,7.452424,1725,-117,-18.5,-119,-19,-121,-20,6,23
81,24928,241,00:15.0,81,6391890,,,-84,-16,80.357936,7.479673,525,-83,-12.5,,,,,,
1,25709,439,01:30.0,1,7177728,5224961,,-109.7,-14.2,81.839827,7.407832,1725,-111,-15,-114.3,-18.3,,,7,8
0,20475,369,00:17.0,0,5504769,5504789,,-98,-13.7,79.864369,6.950329,1725,-98.6,-13.7,-103.4,-17.4,,,,4
1,24832,118,00:54.0,1,6108161,,,-101.9,-15.4,81.594989,7.789395,1725,-106.4,-18.2,,,,,6.3,8.6
71,20136,196,01:34.0,71,5325639,,,-97,-12.5,80.368951,7.490647,400,-98,-14,,,,,11,11
11,20648,144,01:17.0,11,5411614,,,-106.3,-15.8,79.948091,7.165657,1725,-106.7,-16,,,,,,
92,27281,349,00:53.0,92,6984540,6900561,,-100.5,-12.5,81.602477,7.780911,525,-105,-16.5,-105.5,-18,,,8,6.5
53,23009,12,01:03.0,53,6596914,6035506,,-104,-12.5,,,2530,-111,-15.5,-113,-20,,,7,28
0,24034,210,00:42.0,0,5122818,,,-89,-9.5,79.856713,6.895704,1725,-101,-18,,,,,9,27
1,20153,79,01:35.0,1,6046977,,,-96,-11.2,79.997949,9.716929,1725,-102,-16.8,,,,,6,5.5
1,20153,79,00:18.0,1,6046976,6046977,5318914,-102,-11.5,79.998831,9.716664,1725,-105,-17,-106,-16,-109,-18,,
0,24256,102,00:49.0,0,6209537,,,-111,-15.5,80.035541,6.911699,1725,-117,-19,,,,,,3
1,27073,179,00:13.0,1,5551616,,,-97.8,-13.8,80.214175,7.430705,1725,-101.2,-16.7,,,,,7.5,16.9
0,22561,129,00:12.0,0,5825536,5813279,,-111.5,-16,79.967174,7.352361,1725,-113,-18,-113.5,-18.8,,,7,39
0,22612,421,00:11.0,0,5556247,5623554,6283265,-120,-16.5,80.545895,7.887519,1725,-123,-18,-123,-18.5,-123,-18.5,,34
3,20779,252,00:21.0,3,6018817,,,-112,-15,80.399472,7.321244,1725,-118,-20,,,,,13,56
80,27309,378,01:41.0,80,5874513,,,-102,-11.5,81.166341,8.463439,525,-111,-20,,,,,9,20
0,21611,148,00:13.0,0,5533442,6770178,,-108,-16.5,79.974756,7.15771,1725,-107,-18,-108,-17.5,,,9,23
1,24183,40,01:39.0,1,6564609,,,-93,-13.4,80.013587,9.664749,1725,-97.4,-16.3,,,,,6.4,2.4
0,20004,315,00:20.0,0,5121026,6214656,,-100,-17,79.858982,6.910894,1725,-95,-13,-99,-15.5,,,,
0,20475,369,00:39.0,0,5241601,,,-103.3,-10.6,79.864554,6.950398,1725,-108.8,-15.1,,,,,9,2
0,20475,369,00:56.0,0,5241601,,,-103.8,-12.3,79.865364,6.949532,1725,-106.8,-15,,,,,10,2.5
11,23580,46,00:40.0,11,5285908,,,-108.7,-14.6,79.968606,7.186876,1725,-111.4,-16.2,,,,,7.7,17
0,24034,210,01:53.0,0,6152724,,,-85,-10.5,79.857481,6.89628,1725,-91,-17,,,,,,
1,26007,406,01:16.0,1,6657792,,,-110,-11.8,80.377907,8.26386,1725,-113.8,-15.1,,,,,8,14
11,20648,144,01:39.0,11,5411614,5298433,5298432,-108,-13.5,79.956499,7.160928,1725,-113,-19,-114,-19.5,-114,-19.5,,
3,20600,297,01:17.0,3,5273600,5204480,5259008,-109,-18,79.931481,6.899005,1725,-111,-19,-113,-19.5,-114,-19,,
0,20499,196,01:50.0,0,5519618,,,-88,-15.3,79.852156,6.938062,1725,-89.3,-17.7,,,,,,24
1,20527,52,00:20.0,1,5274892,5512736,5199360,-99,-16,79.906644,6.939302,1725,-99,-17,-104,-20,-104,-20,,8
11,20648,144,01:09.0,11,5298433,,,-105,-14,79.957138,7.155228,1725,-109,-17,,,,,,
0,23861,45,00:02.0,0,6040588,5414144,6381827,-112,-17.5,80.424821,7.520059,1725,-111,-15.5,-116,-20,-117,-20,8,25
1,27073,179,01:02.0,1,5551616,5551618,5321216,-107.2,-14.6,80.214727,7.432457,1725,-108.4,-15.9,-111.4,-18.4,-112.6,-19.2,,
2,20428,201,00:10.0,2,5820437,5493250,6113814,-104,-13.5,81.676194,7.712632,1725,-106,-16.5,-107,-17,-128,-20,7,17
1,25649,20,00:45.0,1,5811456,6212610,6566144,-114,-17,80.010258,7.040775,1725,-113,-17,-114,-18.5,-115,-18.5,6,22
0,21710,372,01:11.0,0,5557762,5556995,6476546,-108.5,-16.3,80.763469,9.222049,1725,-112,-16.5,-113.5,-19,-114.5,-20,8,19
21,21686,349,01:12.0,21,5551616,,,-101.3,-13.5,80.215938,7.430605,1725,-106.3,-19,,,,,8,3
30,20136,15,00:17.0,30,5552641,5154816,,-96,-13,80.36813,7.481014,1725,-95,-11,-101,-16.5,,,9,7
2,22685,155,00:58.0,2,5281812,5281802,,-113,-16,80.010453,7.103238,1725,-108,-13,-113,-15.5,,,8,11
2,22741,348,01:00.0,2,5140994,7150337,4294967295,-102,-20,79.860788,6.93337,1725,-103,-19,-105,-20,-105,-20,,
1,26007,406,01:29.0,1,5625088,,,-117,-15,80.387973,8.262922,1725,-122,-19.5,,,,,,
1,20441,265,01:44.0,1,5232898,6311169,,-82,-13.5,81.736631,7.671634,1725,-92,-20,-93,-20,,,7,6
0,22612,421,00:44.0,0,5623554,,,-110.5,-14.2,80.54743,7.894184,1725,-114.9,-17.4,,,,,7.3,35.4
3,25084,117,00:39.0,3,5261570,7170079,,-108,-17,79.877181,6.852187,1725,-107,-13.5,-110,-18,,,4,7
1,20441,265,01:45.0,1,4294967295,6311179,,-108,-12.5,81.730105,7.669407,1725,-109,-16,-111,-18,,,11,15
82,27306,308,01:48.0,82,5874011,6990428,5874002,-109,-13,81.086219,8.069443,525,-110,-14,-116,-16,-117,-20,6,5
1,26991,286,01:05.0,1,5254933,6909696,,-105,-12.5,79.900832,6.940452,1725,-104,-13.5,-106,-15,,,7,3
2,23883,201,00:54.0,2,5232642,,,-102,-13.7,81.607442,7.773183,1725,-108,-19.3,,,,,6,3
0,20559,114,00:52.0,0,5207041,6212108,6212118,-110,-18,79.876201,6.979632,1725,-110,-17.5,-115,-20,-115,-20,4,5
0,23223,249,00:44.0,0,4294967295,,,-101,-15,79.866733,7.566821,1725,-117,-20,,,,,7,13
22,20767,409,01:44.0,22,5154324,,,-103.3,-11.4,80.038155,9.68316,1725,-110.5,-17.2,,,,,7.5,6.5
1,23925,386,00:02.0,1,6124802,,,-92.5,-12.9,81.342238,7.552836,1725,-95.3,-14.8,,,,,8,3.3
22,20673,367,00:40.0,22,5984771,,,-118.3,-15.8,80.112715,6.967462,1725,-121.7,-18.2,,,,,8,14.5
2,25643,245,01:56.0,2,6190850,6190848,,-97,-12,80.013988,9.664242,1725,-104,-20,-105,-20,,,7,1
2,20772,230,00:54.0,2,4294967295,,,-102.8,-14.8,80.022408,9.664249,1725,-105,-17.2,,,,,9.2,4.7
2,20772,230,00:17.0,2,5772544,,,-98.9,-13.7,80.021924,9.662835,1725,-103.2,-18.1,,,,,10.7,5.6
2,20037,339,00:24.0,2,5246466,5426688,5129472,-110,-15.5,79.895189,6.901443,1725,-112,-16,-113,-17,-113,-17,6,1
2,25644,321,00:33.0,2,5772545,5317633,6190593,-102,-17,80.025605,9.657162,1725,-112,-19.5,-112,-20,-118,-20,8,7
21,20501,213,00:56.0,21,6202113,5123585,5248257,-108,-19.5,79.86464,6.918734,1725,-106,-17.5,-107,-18,-107,-19,0,4
83,20774,12,00:43.0,83,5316434,,,-105.7,-12.8,80.03909,9.677473,525,-110.8,-17.3,,,,,9.8,9.6
2,21621,309,00:22.0,2,5534976,,,-98,-13.3,79.971963,6.954603,1725,-105.5,-18.8,,,,,6,12
2,21621,309,01:24.0,2,5534976,,,-103.3,-13.5,79.974003,6.956199,1725,-109.3,-19.1,,,,,6.8,12.2
2,21621,309,00:01.0,2,5408513,5534976,,-105,-16,79.967165,6.953494,1725,-109,-16.5,-111,-18,,,3,13
0,23225,115,01:50.0,0,5945612,,,-112,-15,81.63542,7.720547,1725,-117,-19.5,,,,,,
1,20610,5,00:34.0,1,5267202,5166358,,-113,-18.5,79.864319,6.863078,1725,-117,-20,-126,-20,,,6,35
2,27115,276,00:13.0,2,5493771,5228309,,-101,-13,81.520327,7.897029,1725,-102,-15,-106,-18.5,,,,9
2,25358,344,00:19.0,2,6014978,,,-119.5,-17,80.473121,7.737238,1725,-119.5,-16.3,,,,,8.5,30.5
3,20779,252,00:02.0,3,4294967295,4294967295,,-113.5,-13.8,80.414645,7.319928,1725,-116,-16.5,-117,-17.3,,,10,34
1,20153,79,00:32.0,1,5159170,5318914,5159168,-90,-9.5,79.997107,9.72049,1725,-99,-19,-100,-19,-101,-20,14,0
20,21674,374,00:18.0,20,5321217,5551637,6734851,-115,-19,80.211344,7.404712,1725,-114,-16,-114,-16.5,-119,-13,6,39
0,21692,54,01:56.0,0,5321986,5413142,,-108,-16.5,80.290272,7.330581,1725,-107,-14.5,-111,-17,,,9,21
20,20737,343,00:11.0,20,5308675,5308682,5533718,-102,-16,79.884089,7.212164,1725,-106,-17,-107,-18,-107,-19.5,6,11
21,21686,349,01:40.0,21,6930689,5551616,,-96.5,-14,80.215124,7.430473,1725,-101.5,-17.3,-102.5,-15.5,,,8,2
1,27073,179,01:01.0,1,5551618,5321216,,-89.7,-12.5,80.209631,7.432659,1725,-95,-17.5,-97.3,-18,,,6.5,9.5
2,25649,18,01:00.0,2,5288449,,,-106,-13.5,80.019956,7.06081,1725,-111,-17.5,,,,,,11
2,25649,18,00:03.0,2,6566145,6510593,,-101,-13,80.01605,7.054392,1725,-106,-15,-114,-20,,,8,4
2,21879,299,00:03.0,2,5601024,,,-111.7,-12.2,80.245495,8.199707,1725,-116.8,-16.7,,,,,7.8,26
2,26448,294,00:27.0,2,5312287,6770689,,-101,-20,80.0413,9.744868,1725,-101,-17.5,-101,-18.5,,,5,15
3,20779,252,01:44.0,3,4294967295,,,-110.5,-16.3,80.421093,7.320316,1725,-112,-17.1,,,,,10.5,42.1
3,21700,449,00:45.0,3,5327894,5215264,5215252,-98,-16,79.910709,8.979866,1725,-97,-17,-100,-19.5,-100,-19,9,7
